Paper,Field,Year,Title,Authors,Link
Other,Human Genetics and Genomics Advances 5 (3),2024,Generalizability of PGS313 for breast cancer risk in a Los Angeles biobank,"H Shang, Y Ding, V Venkateswaran, K Boulier, N Kathuria-Prakash, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:HDshCWvjkbEC
Other,NEJM AI 1 (5),2024,Histopathology Slide Indexing and Search—Are We There Yet?,"HH Shang, MS Nasr, JP Veerla, JR Saurav, A Hajighasemi, P Malidarreh, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:4DMP91E08xMC
Other,Plos one 19 (3),2024,BetaBuddy: An automated end-to-end computer vision pipeline for analysis of calcium fluorescence dynamics in β-cells,"AM Alsup, K Fowlds, M Cho, JM Luber",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:hFOr9nPyWt4C
Other,Genome biology and evolution 16 (3),2024,scRNA-seq Reveals Novel Genetic Pathways and Sex Chromosome Regulation in Tribolium Spermatogenesis,"M Robben, B Ramesh, S Pau, D Meletis, J Luber, J Demuth",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:QIV2ME_5wuYC
Other,,2024,Single-cell RNA-seq reveals TCR clonal expansion and a high frequency of transcriptionally distinct double-negative T cells in NOD mice,"M Robben, MZO Islam, S Zimmerman, J Weidanz, J Ordovas-Montanes, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:-f6ydRqryjwC
Other,arXiv preprint arXiv:2401.02882,2024,"SpatialVisVR: An Immersive, Multiplexed Medical Image Viewer With Contextual Similar-Patient Search","JP Veerla, PS Guttikonda, A Hajighasemi, JR Saurav, A Darji, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:IWHjjKOFINEC
Other,arXiv preprint arXiv:2401.02564,2024,Predicting Future States with Spatial Point Processes in Single Molecule Resolution Spatial Transcriptomics,"PB Malidarreh, B Rout, MS Nasr, P Borad, JR Saurav, JP Veerla, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:qUcmZB5y_30C
Other,2024 IEEE 21st International Symposium on Biomedical Imaging (ISBI),2024,Vulnerabilities Unveiled: Adversarially Attacking a Multimodal Vision Language Model for Pathology Imaging,"JP Veerla, P Thota, PS Guttikonda, S Nilizadeh, JM Luber",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:ZeXyd9-uunAC
Other,arXiv preprint arXiv:2312.12587,2023,Real-Time Diagnostic Integrity Meets Efficiency: A Novel Platform-Agnostic Architecture for Physiological Signal Compression,"NR Vora, A Hajighasemi, CT Reynolds, A Radmehr, M Mohamed, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:L8Ckcad2t8MC
Other,F1000Research 12,2023,The state of applying artificial intelligence to tissue imaging for cancer research and early detection,"M Robben, A Hajighasemi, M Sadegh Nasr, JP Veerla, AM Alsup, B Rout, ...",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qkLcROYAAAAJ&sortby=pubdate&citation_for_view=qkLcROYAAAAJ:7PzlFSSx8tAC
